,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
435,2019-0018,1,2019-03-03,23,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,13,-58.44927253,-34.54048625,PEATON,AUTO
436,2019-0019,1,2019-03-06,12,DEL LIBERTADOR AV. 6326,AVENIDA,13,-58.45049163,-34.55374003,MOTO,AUTO
437,2019-0020,1,2019-03-07,21,CHICLANA AV. 3444,AVENIDA,5,-58.41288952,-34.63572989,MOTO,AUTO
438,2019-0021,1,2019-03-15,22,BOYACA AV. Y YERBAL,AVENIDA,7,-58.45743597,-34.62561234,MOTO,AUTO
439,2019-0022,1,2019-03-15,0,ENTRE RIOS AV. BAJO PUENTE AUTOPISTA (1260 APROX),AVENIDA,1,-58.39123782,-34.62352245,AUTO,SD
440,2019-0023,1,2019-03-16,8,"PAZ, GRAL. AV. Y JACQUES, AMADEO",GRAL PAZ,9,-58.52922765,-34.63637963,AUTO,OBJETO FIJO
441,2019-0024,1,2019-03-19,7,ANTARTIDA ARGENTINA AV. 1325,AVENIDA,1,-58.37208118,-34.58541957,MOTO,CARGAS
442,2019-0025,1,2019-03-22,13,"MITRE, BARTOLOME Y SANCHEZ DE BUSTAMANTE",CALLE,5,-58.41458534,-34.60937557,PEATON,AUTO
443,2019-0026,1,2019-03-28,7,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LARRAZABAL",AVENIDA,8,-58.47976785,-34.69153196,PEATON,PASAJEROS
444,2019-0027,1,2019-03-28,11,SANTA FE AV. Y AZCUENAGA,AVENIDA,2,-58.39990285,-34.59511714,BICICLETA,MULTIPLE
445,2019-0028,1,2019-04-06,9,"JUSTO, JUAN B. AV. y OROÑO, NICASIO",AVENIDA,11,-58.46051346,-34.60588536,PEATON,PASAJEROS
446,2019-0029,1,2019-04-07,10,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LACARRA AV.",AVENIDA,8,-58.47976785,-34.69153196,MOTO,OBJETO FIJO
447,2019-0030,1,2019-04-09,16,"ALVAREZ, DONATO, TTE. GRAL. Y YERBAL",CALLE,7,-58.45457546,-34.62447891,MOTO,CARGAS
448,2019-0031,1,2019-04-12,19,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36951669,-34.59832047,BICICLETA,CARGAS
449,2019-0032,1,2019-04-16,11,"CAMARONES Y ALVAREZ, DONATO, TTE. GRAL. AV.",AVENIDA,11,-58.46415322,-34.6044379,PEATON,AUTO
