,ID hecho,FECHA ,SEXO,EDAD_VICTIMA
259,LC-2019-0021709,2019-01-11,Varon,60
260,LC-2019-0021896,2019-01-11,Varon,35
261,LC-2019-0021896,2019-01-11,Varon,35
262,LC-2019-0022026,2019-01-11,Varon,35
263,LC-2019-0022105,2019-01-11,Varon,41
264,LC-2019-0022106,2019-01-11,SD,35
265,LC-2019-0022174,2019-01-11,Varon,44
266,LC-2019-0022256,2019-01-11,Mujer,35
267,LC-2019-0022273,2019-01-11,Varon,41
268,LC-2019-0022275,2019-01-11,Mujer,54
269,LC-2019-0022298,2019-01-11,Mujer,67
270,LC-2019-0022348,2019-01-11,Mujer,74
271,LC-2019-0022492,2019-01-11,Mujer,64
272,LC-2019-0022559,2019-01-11,Varon,34
273,LC-2019-0022606,2019-01-11,Mujer,36
274,LC-2019-0022650,2019-01-11,Mujer,25
275,LC-2019-0022670,2019-01-11,Mujer,35
276,LC-2019-0022774,2019-01-11,Varon,35
277,LC-2019-0022790,2019-01-11,Mujer,43
278,LC-2019-0023022,2019-01-11,Varon,30
279,LC-2019-0023164,2019-01-11,Mujer,58
280,LC-2019-0023309,2019-01-11,Varon,41
281,LC-2019-0023360,2019-01-11,Varon,26
282,LC-2019-0023362,2019-01-11,Varon,42
283,LC-2019-0023485,2019-01-11,Varon,22
284,LC-2019-0023488,2019-01-11,Varon,35
285,LC-2019-0023539,2019-01-11,Varon,35
286,LC-2019-0023555,2019-01-11,Varon,29
287,LC-2019-0023599,2019-01-11,Mujer,35
288,LC-2019-0023727,2019-01-11,Varon,36
289,LC-2019-0024103,2019-01-11,Varon,45
290,LC-2019-0024454,2019-01-11,Varon,23
291,LC-2019-0032150,2019-01-11,Varon,25
292,LC-2019-0040263,2019-01-11,Mujer,35
293,LC-2019-0687058,2019-01-11,varon,34
294,LC-2019-0688515,2019-01-11,varon,37
295,LC-2019-0023692,2019-01-12,Mujer,24
296,LC-2019-0023692,2019-01-12,Varon,24
297,LC-2019-0023777,2019-01-12,Varon,52
298,LC-2019-0023860,2019-01-12,Varon,34
299,LC-2019-0023860,2019-01-12,Varon,34
300,LC-2019-0023868,2019-01-12,Varon,33
301,LC-2019-0023906,2019-01-12,Mujer,39
302,LC-2019-0023906,2019-01-12,Varon,39
303,LC-2019-0023906,2019-01-12,Mujer,35
304,LC-2019-0023906,2019-01-12,Varon,27
305,LC-2019-0023906,2019-01-12,Varon,31
306,LC-2019-0024132,2019-01-12,Varon,35
307,LC-2019-0024257,2019-01-12,Mujer,70
308,LC-2019-0024265,2019-01-12,Mujer,32
309,LC-2019-0024269,2019-01-12,Varon,25
310,LC-2019-0024408,2019-01-12,Varon,27
311,LC-2019-0024465,2019-01-12,Varon,47
312,LC-2019-0024488,2019-01-12,Varon,50
313,LC-2019-0024600,2019-01-12,Mujer,35
314,LC-2019-0024719,2019-01-12,Varon,25
315,LC-2019-0024752,2019-01-12,Varon,54
316,LC-2019-0024755,2019-01-12,Varon,34
